,RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
0,Bad,83,176,8,70,8,0,0,100.0,-7,7,8,8,3,50,0,0,0,38,91,2,2,0,80
1,Bad,64,25,1,9,5,1,1,100.0,-7,7,8,7,4,17,0,1,1,8,-8,2,1,0,75
2,Bad,73,229,13,122,16,0,0,88.0,3,4,6,17,0,41,0,0,0,40,56,2,2,0,100
3,Good,68,272,4,89,31,0,0,100.0,-7,7,8,33,2,27,0,0,0,90,90,8,4,4,86
4,Bad,68,147,5,76,30,2,0,72.0,40,6,5,32,3,22,1,3,3,48,61,4,2,1,67
5,Bad,72,120,3,51,16,1,0,94.0,80,6,5,19,2,53,-7,3,3,44,81,5,9,0,100
6,Bad,87,318,31,99,12,0,0,100.0,-7,7,8,12,0,25,0,0,0,0,52,0,2,0,25
7,Bad,62,295,7,124,55,0,0,95.0,8,4,6,57,2,39,5,0,0,32,48,6,4,2,57
9,Bad,61,105,8,53,44,1,0,89.0,6,4,5,45,3,36,0,7,7,39,60,5,4,1,64
10,Bad,57,81,2,47,13,1,1,79.0,13,6,6,15,1,64,0,1,1,48,19,5,4,0,100
11,Good,85,150,7,68,19,0,0,100.0,-7,7,8,19,1,58,-8,0,0,19,55,2,6,0,80
12,Bad,66,164,5,66,19,1,0,95.0,19,6,5,21,1,19,0,0,0,65,-8,3,1,1,33
